SAMPLE ,,,,,,
Goldilocks Heating and Cooling Co,,,,,,
Profit and Loss,,,,,,
Project XYZ,,,,,,
,,,,,,
Description,Total,,Notes,,,
Income,,,,,,
400 Revenue,,"49,673.50",Project Paid out 50% of $99347,,,
410 Installation Accounts Receivable,,"$49,673.50 ",Project balance unpaid,,,
420 Demo Accounts Receivable,, $ -   ,,,,
440 Change Orders Accounts Receivable,,"$5,100.00 ",not yet invoiced but specified on pay app 2.,,,
Total 400 Revenue,,"$104,447.00 ",,,,
499 Refunds,, $ -   ,,,,
Total Income,,"$104,447.00 ",,,,
Cost of Goods Sold,,,,,,
500 Direct Expenses,,,,,,
530 Materials,, $ -   ,,,,
540 Shipping,, $ -   ,,,,
550 Direct Supplies,,"$1,500.00 ","dumpster rental $1500, ",,,
555 Fuel,, $ -   ,,,,
570 Permits,,$50.00 ,,,,
580 Sales Tax Due on Project 8.41%,, $ -   ,,,,
Total 500 Direct Expenses,,"$1,550.00 ",,,,
599 Direct Labor,,"$1,875.00 ",David & Efrain,,,
Total Cost of Goods Sold,,"$3,425.00 ",,,,
Gross Profit ,,"$101,022.00 ",,,,
Expenses,,,,,,
600 Facilities ,,,,,,
601 Auto Expense,, $ -   ,,,,
602 Janitorial ,, $ -   ,,,,
603 Rent & Lease,, $ -   ,,,,
604 Repairs & Maintenance,, $ -   ,,,,
605 Security,, $ -   ,,,,
606 Telephone & Internet,, $ -   ,,,,
610 Utilities ,, $ -   ,,,,
Total 600 Facilities ,, $ -   ,,,,
620 Marketing,,,,,,
621 Advertising,, $ -   ,,,,
622 Charitable Contributions,, $ -   ,,,,
624 Gifts,, $ -   ,,,,
625 Meals,, $ -   ,,,,
Total 620 Marketing,, $ -   ,,,,
640 Salaries & Wages,,,,,,
641 Administrative Wages,, $ -   ,,,,
644 Officer Wages,, $ -   ,,,,
645 Sales Wages,, $ -   ,,,,
Total 640 Sales & Wages,, $ -   ,,,,
660 Payroll Taxes & Benefits,,,,,,
661 Health Insurance ,, $ -   ,,,,
662 Payroll Taxes,, $ -   ,,,,
663 Retirement Contributions,, $ -   ,,,,
Total 660 Payroll Taxes & Benefits,, $ -   ,,,,
670 Other Operating Expenses ,,,,,,
671 Accounting,, $ -   ,,,,
672 Bank Charges & Fees,, $ -   ,,,,
673 Credit Card Merchant Fees,, $ -   ,,,,
674 Dues & Subscriptions,, $ -   ,,,,
675 Insurance,, $ -   ,,,,
678 Licenses & Permits ,, $ -   ,,,,
679 Office Expense,, $ -   ,,,,
681 Rent - Equipment,, $ -   ,,,,
682 Small Tools & Equipment,, $ -   ,,,,
683 Software Fees,, $ -   ,,,,
684 Supplies,, $ -   ,,,,
690 Taxes - B&O,, $ -   ,,,,
691 Taxes - Property,, $ -   ,,,,
692 Training & Education ,, $ -   ,,,,
693 Travel,, $ -   ,,,,
Total 670 Other Operating Expenses,, $ -   ,,,,
Total Expenses,, $ -   ,,,,
Net Operating Income,,"$101,022.00 ",,,,
Other Income,,,,,,
700 Other Income,,,,,,
703 Rebates & Credits ,, $ -   ,,,,
Total 700 Other Income,, $ -   ,,,,
Other Expenses,,,,,,
800 Other Expenses,,$335.00 ,"Straps $150, Dump fees $185",,,
801 Bad Debt,, $ -   ,,,,
Total 800 Other Expenses ,,$335.00 ,,,,
Net Other Income,,"-$335.00 ",,,,
Net Income,,"$100,687.00 ",,,,
