status,image_file,current_alt,new_alt,page,edit_at,loading
described,src/assets/images/branding/Atlas-Accounting-logo.svg,Atlas Accounting Group logo,,/accountants-for-electricians/,,eager
described,src/assets/images/pages/electrical/Accountants-for-Electricians-Company.webp,Electrician in safety glasses working on a wall panel with a screwdriver,,/accountants-for-electricians/,src/pages/accountants-for-electricians.astro:80,eager
described,src/assets/images/home/Accountants-for-Contractors.webp,Contractor loading equipment into his work van,,/accountants-for-electricians/,src/pages/accountants-for-electricians.astro:141; src/pages/index.astro:160,lazy
described,src/assets/images/pages/tax/Ryann-Blake-Testimonial.jpg,"Ryann Blake, owner of Chimney Techniques",,/accountants-for-electricians/,src/pages/accountants-for-electricians.astro:205; src/pages/accountants-for-plumbers.astro:206; src/pages/accountants-for-solar-companies.astro:219,lazy
described,src/assets/images/branding/Atlas-Accounting-light-logo.svg,Atlas Accounting Group logo,,/accountants-for-electricians/,,lazy
described,src/assets/images/pages/plumbing/Best-accountants-for-plumbers.webp,Plumber kneeling to work on the pipework under a kitchen sink,,/accountants-for-plumbers/,src/pages/accountants-for-plumbers.astro:84,eager
described,src/assets/images/pages/plumbing/Accountants-for-plumbers.webp,Plumber connecting the hoses behind a washing machine,,/accountants-for-plumbers/,src/pages/accountants-for-plumbers.astro:146,lazy
described,src/assets/images/pages/solar/Accounting-for-solar-companies.png,Two installers carrying a solar panel across a tiled roof,,/accountants-for-solar-companies/,src/pages/accountants-for-solar-companies.astro:84,eager
described,src/assets/images/pages/solar/Group-2dd2.png,"Xero, Gusto, ServiceTitan, QuickBooks and Jobber logos over a construction site",,/accountants-for-solar-companies/,src/pages/accountants-for-solar-companies.astro:153,lazy
described,src/assets/images/pages/solar/Accountants-for-solar.png,Two solar installers in hard hats setting a panel onto a roof frame,,/accountants-for-solar-companies/,src/pages/accountants-for-solar-companies.astro:158,lazy
described,src/assets/images/branding/Atlas-Accounting-logo.svg,Atlas Accounting Group color logo on white,,/brand-guide/,src/pages/brand-guide.astro:63,lazy
described,src/assets/images/branding/Atlas-Accounting-light-logo.svg,Atlas Accounting Group light logo on navy,,/brand-guide/,src/pages/brand-guide.astro:66,lazy
described,src/assets/images/home/1-Accountants-for-Contractors.webp,Contractor doing paperwork on a laptop in the cab of his truck,,/construction-accountants/,src/pages/construction-accountants.astro:124; src/pages/hvac-accounting.astro:146; src/pages/index.astro:85,eager
described,src/assets/images/pages/construction/ServiceTitan.png,ServiceTitan,,/construction-accountants/,,lazy
described,src/assets/images/pages/construction/JobTread.png,JobTread,,/construction-accountants/,,lazy
described,src/assets/images/home/Housecall-Pro.png,Housecall Pro,,/construction-accountants/,,lazy
described,src/assets/images/pages/construction/QuickBooks.png,QuickBooks,,/construction-accountants/,,lazy
described,src/assets/images/home/Gusto.png,Gusto,,/construction-accountants/,,lazy
described,src/assets/images/pages/payroll/Payroll-Services-for-Construction-p-800.webp,Tradesperson in work coveralls standing in a pipe supply warehouse,,/construction-payroll/,src/pages/construction-payroll.astro:127,eager
described,src/assets/images/pages/payroll/Payroll-for-Construction.webp,Contractor checking payroll on his phone at the jobsite,,/construction-payroll/,src/pages/construction-payroll.astro:170,lazy
described,src/assets/images/pages/payroll/Payroll-for-Construction-Company.webp,Construction business owner reviewing payroll paperwork,,/construction-payroll/,src/pages/construction-payroll.astro:177,lazy
